POINT_X POINT_Y POINT_Z PIXEL_COL PIXEL_ROW GCPname
706742.5 -1541099.5 45.90425872802734 3828 446 point23
697916.5 -1540073.5 126.9090423583984 352 1644 point03
699851.5 -1538531.5 105.1166763305664 326 769 point02
703094.5 -1535996.5 473.8369445800781 326 240 point01
708233.5 -1539662.5 218.3479614257812 3151 327 point26
707288.5 -1538300.5 305.6543884277344 2468 292 point21
702698.5 -1540133.5 55.00601577758789 3008 591 peak
698627.5 -1539893.5 91.13816833496094 1085 1226 tree
